Date,Box Number,Session Number,Piece Number,Seat,Watts,Catch Angle,Finish Angle,Catch Slip,Finish Slip,Length,Effective Length,Rate,Speed,Average Watts,Variance Watts,Average Effective Length
2023-05-06,5324,296,1,1,364,-54.6,28.5,4.4,12.0,83.1,66.7,37.5,6.01,371.5,70.28571428571426,66.7375
2023-05-06,5324,296,3,1,348,-53.3,28.9,3.9,12.7,82.2,65.6,37.6,6.04,362.0,984.0,65.45
2023-05-06,5253,553,2,1,328,-53.9,27.3,7.5,9.7,81.2,64.0,37.1,5.84,321.25,292.7857142857143,63.2375
2023-05-06,5253,553,1,1,331,-54.2,27.4,6.9,9.2,81.6,65.5,37.6,5.9,337.875,661.2678571428572,63.4625
2023-05-06,5324,296,2,1,349,-53.2,28.4,4.0,12.1,81.6,65.5,37.7,6.07,365.625,250.2678571428571,66.33749999999999
2023-05-06,5325,326,3,1,381,-56.0,28.4,10.3,6.8,84.4,67.3,38.7,6.1,385.375,977.1250000000002,68.55
2023-05-06,5325,326,2,1,388,-56.6,28.9,9.7,6.1,85.5,69.7,36.5,6.03,377.125,551.5535714285716,68.9
2023-05-06,5325,326,1,1,379,-56.6,28.8,9.5,7.2,85.4,68.7,37.0,6.06,393.0,984.5714285714284,69.6
2023-05-10,5253,561,1,1,350,-54.0,27.3,6.6,8.9,81.3,65.8,37.4,5.57,358.75,741.0714285714284,65.475
2023-05-10,5253,561,2,1,307,-53.5,27.2,7.6,9.7,80.7,63.4,36.8,5.22,319.125,1008.6964285714284,62.75
2023-05-10,5325,341,1,1,374,-57.3,28.8,11.4,6.8,86.1,67.9,37.8,5.67,395.0,1844.285714285714,69.7375
2023-05-10,5325,341,2,1,350,-57.2,28.5,11.7,7.3,85.7,66.7,37.0,5.39,366.875,856.4107142857143,67.35
2023-05-10,5324,303,1,1,374,-54.4,28.8,4.5,10.1,83.2,68.6,37.2,5.63,376.375,347.982142857143,67.2875
2023-05-10,5324,303,2,1,348,-53.3,28.8,4.8,11.0,82.1,66.3,37.5,5.38,354.125,191.83928571428572,66.05
2023-05-20,5325,381,1,1,365,-56.7,29.4,11.2,7.5,86.1,67.4,37.1,5.58,372.625,1142.267857142857,67.9
2023-05-20,5325,381,2,1,381,-57.0,29.4,10.9,6.0,86.4,69.5,37.3,5.75,359.375,1011.1249999999994,69.0625
2023-05-20,5325,381,3,1,337,-56.6,29.8,11.3,8.2,86.4,66.9,35.9,5.34,343.375,797.9821428571428,67.6625
2023-05-20,5324,340,1,1,344,-56.0,29.8,11.0,11.4,85.8,63.4,37.3,5.44,348.75,1517.0714285714294,66.15
2023-05-20,5324,340,2,1,347,-57.0,30.3,10.6,11.1,87.3,65.6,37.3,5.63,337.625,1172.267857142857,65.5375
2023-05-20,5324,340,3,1,333,-55.6,30.1,11.2,11.4,85.7,63.1,36.6,5.25,330.7142857142857,1446.2380952380952,64.37142857142858
2023-05-20,5325,384,1,1,346,-58.1,29.2,6.1,12.9,87.3,68.3,38.1,5.92,402.25,2388.5,69.76249999999999
2023-05-20,5325,384,2,1,332,-56.7,28.5,6.0,13.0,85.2,66.2,39.2,5.75,374.875,1158.4107142857138,68.1125
2023-05-23,5253,584,2,1,343,-53.6,27.6,7.2,10.9,81.2,63.1,37.2,5.55,333.57142857142856,697.6190476190477,62.371428571428574
2023-05-23,5324,367,2,1,339,-51.7,28.8,4.4,9.7,80.5,66.4,37.8,5.63,353.8333333333333,1379.7666666666669,64.16666666666667
2023-05-25,5253,593,1,1,369,-51.3,29.2,3.4,9.7,80.5,67.4,37.0,5.94,348.75,296.2142857142855,64.9625
2023-05-25,5325,390,1,1,352,-57.7,27.9,6.0,12.5,85.6,67.1,38.9,6.22,394.125,1152.6964285714282,67.8125
2023-05-26,5253,594,1,1,353,-51.7,29.5,4.2,10.8,81.2,66.2,36.9,5.73,336.85714285714283,243.1428571428568,64.28571428571429
2023-05-26,5325,399,1,1,355,-58.0,28.7,6.0,12.5,86.7,68.2,39.1,6.05,394.625,1390.267857142857,68.1125
2023-05-26,5324,376,1,1,359,-56.6,28.9,7.1,7.8,85.5,70.6,39.4,5.92,376.0,303.3333333333332,66.21428571428571
2023-11-03,5239,718,3,1,252,-58.5,26.9,11.8,9.8,85.4,63.8,32.5,5.31,279.375,553.1249999999998,64.8625
2023-11-03,5239,718,2,1,257,-58.2,27.0,10.5,10.2,85.2,64.5,32.5,4.39,267.625,1038.553571428572,62.225
2023-11-03,5239,718,1,1,287,-58.8,27.2,10.8,10.0,86.0,65.2,33.6,5.46,299.5,1077.4285714285716,65.1375
2023-11-03,5253,418,3,1,312,-50.8,30.4,4.9,10.2,81.2,66.1,34.1,5.56,304.125,911.5535714285716,65.2875
2023-11-03,5324,147,3,1,348,-54.6,29.8,8.9,9.5,84.4,66.0,34.5,5.68,335.25,365.6428571428572,64.775
2023-11-03,5324,147,2,1,347,-54.7,30.4,9.1,9.6,85.1,66.4,33.9,4.83,338.25,543.6428571428571,64.5875
2023-11-03,5324,147,1,1,369,-55.2,31.0,8.1,9.0,86.2,69.1,33.8,5.84,362.5,718.2857142857141,67.7875
2023-11-03,5253,418,2,1,325,-51.0,29.9,3.7,9.3,80.9,67.9,34.1,4.79,316.375,1020.5535714285716,65.575
2023-11-03,5253,418,1,1,329,-51.2,30.0,4.1,8.8,81.2,68.3,34.3,5.76,323.5,648.5714285714284,53.662499999999994
2023-11-03,5325,140,2,1,275,-55.9,30.7,7.8,14.6,86.6,64.2,32.7,4.85,347.125,1011.5535714285712,68.7375
2023-11-03,5325,140,3,1,264,-55.4,30.2,8.4,14.5,85.6,62.7,33.7,5.71,348.625,1666.8392857142856,68.95
2024-03-13,5253,825,3,1,329,-50.9,26.2,6.1,8.6,77.1,62.4,33.4,5.23,318.625,78.26785714285711,65.0125
2024-03-13,5324,663,1,1,299,-58.7,28.4,8.0,9.8,87.1,69.3,33.0,5.64,341.625,534.8392857142857,67.3875
2024-03-13,5253,825,1,1,324,-51.6,26.2,6.0,9.6,77.8,62.2,33.4,5.52,325.0,64.85714285714282,65.525
2024-03-13,5324,663,3,1,274,-57.2,28.1,7.2,10.4,85.3,67.7,32.7,5.21,315.0,865.7142857142845,66.2625
2024-03-13,5324,663,2,1,293,-57.3,28.7,7.8,10.6,86.0,67.6,33.2,5.45,340.625,674.8392857142857,66.9875
2024-03-13,5253,825,2,1,291,-51.1,25.6,6.2,9.8,76.7,60.7,33.5,5.26,308.125,202.98214285714283,64.3125
2024-03-13,5325,678,1,1,333,-61.6,29.1,6.7,12.4,90.7,71.6,33.7,5.7,360.25,398.7857142857141,69.8875
2024-03-13,5325,678,2,1,315,-61.5,29.1,6.8,12.5,90.6,71.3,32.5,5.41,339.125,271.8392857142856,70.55
2024-03-13,5325,678,3,1,324,-61.4,28.7,7.4,11.7,90.1,71.0,33.1,5.44,351.25,643.0714285714284,69.1375
2024-04-13,5239,1056,2,1,308,-55.6,28.9,9.1,10.6,84.5,64.8,33.0,5.2,308.0,235.99999999999997,65.575
2024-04-13,5239,1056,1,1,314,-55.8,28.9,8.7,10.9,84.7,65.1,33.5,5.4,316.25,191.07142857142856,65.8125
2024-04-13,5239,1056,3,1,318,-55.8,29.1,8.1,10.5,84.9,66.3,33.0,5.12,303.625,155.12499999999991,65.5125
